coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,fusion_group_2013,fission_group_2013,growth_ratio_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,fusion_group_2014,fission_group_2014,growth_ratio_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,fusion_group_2015,fission_group_2015,growth_ratio_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,fusion_group_2016,fission_group_2016,growth_ratio_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,fusion_group_2017,fission_group_2017,growth_ratio_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,fusion_group_2018,fission_group_2018,growth_ratio_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,fusion_group_2019,fission_group_2019,growth_ratio_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,fusion_group_2020,fission_group_2020,growth_ratio_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,fusion_group_2021,fission_group_2021,growth_ratio_2021,dynamics_2021,length_2022,width_2022,height_2022,observer_2022,note_2022,note_extra_2022,fusion_group_2022,fission_group_2022,growth_ratio_2022,dynamics_2022,length_2023,width_2023,height_2023,observer_2023,note_2023,note_extra_2023,fusion_group_2023,fission_group_2023,growth_ratio_2023,dynamics_2023
11,LTER1,BR,P1,Poc,1.02,32,29,0.5,0.4,0.4,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,LTER1,BR,P1,Poc,1.05,75,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,2,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.1,80,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.15,94,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,LTER1,BR,P1,Poc,1.15,98,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,1.2,1.3,0.9,EW,R,NA,NA,NA,NA,Recruitment,7.5,4,4.1,HSL,NA,NA,NA,NA,4.58823529411765,Growth,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,LTER1,BR,P1,Poc,1.52,35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.7,1.2,MK,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.6,46,18,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,20,20,12,EW,Lo,NA,NA,NA,NA,NA,24,22,16,HSL,NA,NA,NA,NA,1.19230769230769,Growth,17,11.1,10,EW,NA,NA,NA,NA,0.614516129032258,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,LTER1,BR,P1,Poc,1.6,60,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,0.5,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.7,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.2,3.2,MK,NA,NA,NA,NA,NA,NA
20,LTER1,BR,P1,Poc,1.7,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,LTER1,BR,P1,Poc,1.7,30,0,29.4,13.6,23.7,MK,Lo,NA,NA,NA,NA,NA,26.4,13.4,20.6,MK,NA,NA,NA,NA,0.905547226386806,NA,22.5,13,26.7,MK,NA,NA,NA,NA,1.02980132450331,Growth,27.8,14.3,27.3,MK,NA,NA,NA,NA,1.11575562700965,Growth,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,1.73,35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.2,1.7,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,LTER1,BR,P1,Poc,1.73,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,25,20,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,1.77,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2.3,3.2,MK,NA,NA,NA,NA,NA,NA
25,LTER1,BR,P1,Poc,1.8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.6,2.6,MK,NA,NA,NA,NA,NA,NA
26,LTER1,BR,P1,Poc,1.8,26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,1.2,MK,NA,NA,NA,NA,NA,NA
27,LTER1,BR,P1,Poc,1.85,23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.1,2.4,MK,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Poc,1.95,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2.8,2.8,HL,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
29,LTER1,BR,P1,Poc,1.95,97,46,3,3,3.3,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,LTER1,BR,P1,Poc,2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,15.5,HSL,loose,NA,NA,NA,NA,NA,19,18.5,16.3,HL,NA,NA,NA,NA,1.06534653465347,Growth,20.7,16.5,12,MK,NA,NA,NA,NA,0.914498141263941,NA
31,LTER1,BR,P1,Poc,2,49,13,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,24,14.5,13,EW,Lo,NA,NA,NA,NA,NA,32,20,21,HSL,NA,NA,NA,NA,1.41747572815534,Growth,17.5,11,10.5,EW,NA,NA,NA,NA,0.534246575342466,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,LTER1,BR,P1,Poc,2.1,80,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2,2,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,LTER1,BR,P1,Poc,2.1,95,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,1,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,LTER1,BR,P1,Por,2.25,65,40,52.4,37.8,28,MK,NA,NA,NA,NA,NA,NA,53.3,40.8,39.1,MK,NA,NA,NA,NA,1.12690355329949,Growth,51.5,39.1,34.4,MK,NA,NA,NA,NA,0.938438438438438,NA,56.1,41,37.7,MK,NA,NA,NA,NA,1.0784,Growth,57,42,34.5,EW,NA,NA,NA,NA,0.990356083086053,NA,34,24,36,HSL,NA,NA,NA,NA,0.704119850187266,NA,5.1,3,3.5,EW,NA,NA,NA,NA,0.123404255319149,NA,65,45,25,NA,NA,NA,NA,NA,11.6379310344828,Growth,74.5,51,46,HSL,NA,NA,NA,NA,1.27037037037037,Growth,74.5,53.5,51.7,HL,NA,NA,NA,NA,1.04781341107872,Growth,75.7,45,80,MK,NA,NA,NA,NA,1.11686143572621,Growth
