Year,Site,Habitat,Transect,Taxa,X,Y,Z,Length,Width,Height,Recruitment,Mortality,Fusion,Fission,Observer,Note
2013,LTER1,BR,P10,Acr,7.6,100,5,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P2,Por,0.35,82,10,82,75,89,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,0.55,10,25,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Por,0.6,10,2,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,0.7,10,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,0.8,10,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,0.95,81,12,21,15,19,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,10,46,55,29,24,18,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.05,2,11,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.08,90,15,3,2,2,1,0,0,0,HA,R
2013,LTER1,BR,P2,Poc,1.09,85,20,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.1,77,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.25,64,64,7,5,1,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.29,86,45,16,11,9,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.3,20,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.35,50,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.35,65,37,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.36,70,68,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.37,72,65,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.38,13,3,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.38,13,5,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,1.4,71,60,7,5,6,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.42,47,44,6.5,5.3,1.2,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.48,68,30,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.5,30,30,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.5,60,75,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.5,63,40,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.5,80,72,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.51,30,40,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.51,63,40,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.6,55,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.65,60,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.65,93,100,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.68,73,70,3,2,0.5,1,0,0,0,HA,R
2013,LTER1,BR,P2,Poc,1.8,30,30,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P2,Por,1.8,5,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.8,57,135,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.82,45,35,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P2,Poc,1.82,59,130,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.85,73,150,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.93,81,120,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,1.99,52,35,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.3,90,60,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.33,88,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.38,17,61,10,8,6,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.5,61,81,11,12,12,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.65,50,70,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,2.68,4,10,15,15,16,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,2.75,50,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.2,65,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.35,87,17,12.5,13.5,10,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.4,40,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.43,76,33,23.5,16.7,11,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.45,40,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,3.53,89,17,11,19,19,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Por,3.7,25,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.8,60,20,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.85,67,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.89,33,29,26,19,13,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.9,21,25,12,9,5,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.9,50,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.9,77,17,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,3.9,78,17,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Por,3.92,76,17,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4,22,27,12,14,10,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4,77,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,4.08,27,33,10,3,11,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.09,90,17,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.1,17,30,9,5,5,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.1,50,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.1,55,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.1,55,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.19,98,10,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.21,100,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.22,95,10,3,5,4,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.37,59,30,10,5,3,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,4.75,80,1,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,5.3,67,10,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,5.79,90,70,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,5.8,90,70,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Por,6.25,2,1,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,6.5,32,42,4.5,3.5,0.1,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,6.55,55,50,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P2,Poc,6.6,83,29,22,12,10,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Acr,6.9,25,25,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P2,Poc,7,74,63,4,5,5,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,7.2,10,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Por,8.05,27,0,99,85,58,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,8.57,97,65,19,18,16,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,8.91,5,56,3,4,4,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,9.1,92,100,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,9.11,93,105,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P2,Poc,9.11,98,75,2,1,2,1,0,0,0,HA,R
2013,LTER1,BR,P2,Poc,9.84,7,50,3,2,1,1,0,0,0,HA,R
2013,LTER1,BR,P3,Poc,0.45,68,50,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,0.75,54,27,19.9,12.7,11.5,0,0,0,0,MK,Bi
2013,LTER1,BR,P3,Poc,1.3,96,60,7.4,4.3,4.9,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,1.58,75,60,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,1.6,3,78,3.5,3.4,2,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,1.61,7,76,0.9,0.8,0.6,1,0,0,0,MK,R
2013,LTER1,BR,P3,Poc,1.62,9,76,3.7,3.1,2.2,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,1.64,69,51.9,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,1.65,12,73,1,0.9,0.8,1,0,0,0,MK,R
2013,LTER1,BR,P3,Poc,1.71,18.5,36,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.15,25,6.2,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.15,30,70,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.15,53,71,14.7,11,12.3,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.27,22,78,23.9,16.4,13,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,2.3,64,0,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.47,58,78,17,17.7,13,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.48,76,75,2.7,1.2,1.4,1,0,0,0,MK,R
2013,LTER1,BR,P3,Poc,2.55,7,88,4.3,2.9,3.4,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.56,15,88,3.6,2.2,2.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.65,78,78,3,2.2,2.8,1,0,0,0,MK,R
2013,LTER1,BR,P3,Por,2.7,38,15,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.7,70,79,3.4,3,3.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.72,2,85,3,2.6,2.3,1,0,0,0,MK,R
2013,LTER1,BR,P3,Por,2.78,57,20,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.78,61,76,3.2,2.11,2.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.78,74,76,2.9,2.1,2,1,0,0,0,MK,R
2013,LTER1,BR,P3,Poc,2.8,12,72,4.1,5,2.8,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,2.8,95,40,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.84,57,42,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.84,66,19,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.85,57,83,21.8,23.7,20.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,2.9,27,0,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.92,66,82,7,4.4,6.5,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.96,15,79,11.1,8.6,9.6,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,2.96,37,82,35,22.9,16.9,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3,12,79,10.3,4.8,6.4,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.01,77,76,5.9,3.8,4.3,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.02,66,82,12.8,9,9.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.08,3,82,12.7,9.5,7.4,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.12,62,78,26.4,13.9,17,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.25,10,21.2,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,3.3,50,15,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.32,33,82,18.9,15.4,9.7,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.35,93,73,10.2,7.1,9.2,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.38,72.5,17,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,3.47,43,0,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.47,57,78,21,13.3,14.9,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.5,16,82,15.4,18.5,13.7,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,3.5,22,10,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,3.5,7,20,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.55,55,70,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.62,45,85,1.6,1.1,1.1,1,0,0,0,MK,R
2013,LTER1,BR,P3,Poc,3.75,57,80,15.8,11.7,15.8,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.8,22,83,4.2,3.8,3.2,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,3.95,45,14,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.02,64,89,34.3,27.7,15.7,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.1,70,70,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Acr,4.13,78,105,26.3,13.5,6.6,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Acr,4.26,32,105,9.2,6.3,4.7,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.36,18,117,17,12.2,11.2,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.37,19,106,6.9,4.5,2.9,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.38,65,24,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.41,40,111,30,27,25,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.42,11,108,5.7,2.8,3.8,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,4.48,75,0,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,4.55,82,0,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.58,86,120,6.1,3.5,1.7,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.6,50,100,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.65,19,111,8.9,7.2,4.1,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.7,30,40,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.73,6,70,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Poc,4.75,6,45,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Acr,6.18,68,60,9.5,7,10.8,0,0,0,0,MK,NA
2013,LTER1,BR,P3,Por,8.45,33,70,49,29,38,0,0,0,0,MK,NA
2013,LTER1,BR,P4,Acr,3.79,63,30,9.8,10,7,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Acr,3.91,61,30,13,8,7,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Acr,4,65,32,4,3,1.5,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Acr,4.13,63,34,5,4,1,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Acr,4.3,50,35,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Acr,4.97,2,60,6.5,5,4,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Por,7.1,98,18,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Por,8.56,28,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Por,8.58,25,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P4,Por,9.9,90,50,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Por,10,90,30,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Acr,1.2,20,43,25,25,10,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Acr,1.2,37,24,8,8,5,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Acr,1.35,13,47,12,7,8,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Acr,1.74,80,45,13,10,11,0,0,0,0,HA,NA
2013,LTER1,BR,P5,Por,7.44,66,10,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P6,Por,0.98,95,60,54,29,20,0,0,0,0,HA,NA
2013,LTER1,BR,P6,Por,1.55,83,51,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P6,Acr,3.37,58,27,18.5,23,10,0,0,0,0,HA,NA
2013,LTER1,BR,P6,Por,6.7,58,0,51,12,30,0,0,0,0,HA,NA
2013,LTER1,BR,P6,Por,7.3,70,15,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P7,Por,1,40,60,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P7,Acr,2.15,85,76,8,6,6.5,0,0,0,0,MK,NA
2013,LTER1,BR,P7,Acr,4.03,78,4,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P7,Acr,8.6,60,0.5,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P7,Acr,8.97,44,66,8.4,5.4,5.8,0,0,0,0,MK,NA
2013,LTER1,BR,P7,Acr,9,50,50,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P7,Acr,9.04,44,52,4.4,3.3,5.9,0,0,0,0,MK,NA
2013,LTER1,BR,P8,Acr,0,30,20,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Acr,2.25,28,0,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Por,3.04,88,65,40,104,10,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Por,5.54,90,22,56,34,16,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Acr,6.85,77,20,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Acr,6.9,77,20,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P8,Por,9.4,60,23,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P9,Por,0.05,50,25,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P9,Por,10,68,34.1,5,51.1,35.2,0,0,0,0,MK,NA
2013,LTER1,BR,P9,Por,4.7,58,32,NA,NA,NA,0,0,0,0,HA,NA
2013,LTER1,BR,P9,Acr,6.78,33,80,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P9,Acr,7.13,3,4.7,24,5.4,4.3,0,0,0,0,MK,NA
2013,LTER1,BR,P9,Acr,7.52,26,5.2,38,9.1,4.9,0,0,0,0,MK,NA
2013,LTER1,BR,T1,Poc,0,1,57,NA,NA,NA,0,0,0,0,MK,NA
