coral_number,site,habitat,transect,taxa,x,y,z,L23,W23,H23,Dyn23,L24,W24,H24,Notes_2024
111,LTER1,BR,P02,Poc,0.55,52,50,1,1,1,Recruitment,NA,NA,NA,NA
113,LTER1,BR,P02,Poc,0.59,48,50,2,2,2,Recruitment,NA,NA,NA,NA
115,LTER1,BR,P02,Acr,0.6,10,10,3,4,1,Recruitment,NA,NA,NA,NA
118,LTER1,BR,P02,Poc,0.9,30,10,5.3,4,4,Growth,NA,NA,NA,NA
120,LTER1,BR,P02,Poc,0.95,19,15,22.1,19.5,15.5,NA,NA,NA,NA,NA
122,LTER1,BR,P02,Poc,0.98,30,10,4,2,3,Recruitment,NA,NA,NA,NA
123,LTER1,BR,P02,Poc,1,50,20,2.8,2.8,2,Recruitment,NA,NA,NA,NA
132,LTER1,BR,P02,Poc,1.3,30,10,2.1,1.5,1,Recruitment,NA,NA,NA,NA
133,LTER1,BR,P02,Poc,1.3,60,66,17.9,19,22,Growth,NA,NA,NA,NA
147,LTER1,BR,P02,Poc,1.5,80,72,3,3,3,NA,NA,NA,NA,NA
148,LTER1,BR,P02,Poc,1.5,80,70,22.5,17.5,17,Growth,NA,NA,NA,NA
161,LTER1,BR,P02,Poc,1.7,55,60,14,12.5,13.5,Growth,NA,NA,NA,NA
164,LTER1,BR,P02,Poc,1.8,57,135,7.4,7,3,Growth,NA,NA,NA,NA
167,LTER1,BR,P02,Poc,1.85,73,150,3.5,3.5,3.5,Growth,NA,NA,NA,NA
171,LTER1,BR,P02,Poc,2.11,60,50,2,2,1,Recruitment,NA,NA,NA,NA
181,LTER1,BR,P02,Poc,3.25,10,20,3,2,3,Recruitment,NA,NA,NA,NA
182,LTER1,BR,P02,Poc,3.65,50,70,3.5,2.5,2,NA,NA,NA,NA,NA
188,LTER1,BR,P02,Poc,3.15,70,20,1,1,1,Recruitment,NA,NA,NA,NA
194,LTER1,BR,P02,Acr,3.53,89,17,10.5,10.5,8.5,Shrinkage,NA,NA,NA,NA
197,LTER1,BR,P02,Poc,3.8,60,20,3.8,3,3,Shrinkage,NA,NA,NA,NA
208,LTER1,BR,P02,Poc,4,77,50,3.5,3,2.5,NA,NA,NA,NA,NA
219,LTER1,BR,P02,Poc,4.7,70,20,1,1,1,Recruitment,NA,NA,NA,NA
226,LTER1,BR,P02,Acr,6.3,30,2,9,8.199999999999998,0,Missing Data,NA,NA,NA,NA
232,LTER1,BR,P02,Poc,7.11,70,20,2,2,2,Recruitment,NA,NA,NA,NA
234,LTER1,BR,P02,Poc,7.25,50,50,1,1,1,Recruitment,NA,NA,NA,NA
235,LTER1,BR,P02,Por,8.05,27,0,128,47,48,Growth,NA,NA,NA,NA
238,LTER1,BR,P02,Poc,9.1,92,10,18,18,14,Shrinkage,NA,NA,NA,NA
241,LTER1,BR,P02,Acr,9.2,50,70,4,4,2,Recruitment,NA,NA,NA,NA
242,LTER1,BR,P02,Poc,9.25,10,50,3,2,2,Recruitment,NA,NA,NA,NA
246,LTER1,BR,P03,Por,0,10,20,69,41.2,58.5,Growth,NA,NA,NA,NA
249,LTER1,BR,P03,Poc,1.15,0,45,4.4,3.7,3.5,Recruitment,NA,NA,NA,NA
251,LTER1,BR,P03,Poc,1.2,96,20,20.4,12.7,21.4,Shrinkage,NA,NA,NA,NA
253,LTER1,BR,P03,Poc,1.5,35,40,4.3,3.1,4.5,Recruitment,NA,NA,NA,NA
264,LTER1,BR,P03,Poc,1.6,36,35,15,9.2,7.3,NA,NA,NA,NA,NA
266,LTER1,BR,P03,Poc,1.85,21,20,5.3,2.8,4.7,Recruitment,NA,NA,NA,NA
267,LTER1,BR,P03,Acr,1.88,50,25,3.7,2.4,2.3,Recruitment,NA,NA,NA,NA
268,LTER1,BR,P03,Poc,1.9,26,23,3.5,8,7.8,Shrinkage,NA,NA,NA,NA
270,LTER1,BR,P03,Poc,2,50,20,16.5,15.7,13.7,Missing Data,NA,NA,NA,NA
274,LTER1,BR,P03,Poc,2.17,70,20,26.7,16.9,14.5,Missing Data,NA,NA,NA,NA
275,LTER1,BR,P03,Poc,2.2,58,30,16.6,15.2,15.8,Shrinkage,NA,NA,NA,NA
276,LTER1,BR,P03,Poc,2.2,80,20,18.3,14.3,12.6,Missing Data,NA,NA,NA,NA
286,LTER1,BR,P03,Poc,2.5,50,15,23.8,22.5,23.4,Growth,NA,NA,NA,NA
291,LTER1,BR,P03,Acr,2.6,28,30,26.4,15.9,13.5,Growth,NA,NA,NA,NA
292,LTER1,BR,P03,Poc,2.6,65,40,2.2,0.5,2.8,Recruitment,NA,NA,NA,NA
293,LTER1,BR,P03,Acr,2.63,73,35,0.6,0.5,0.3,Recruitment,NA,NA,NA,NA
294,LTER1,BR,P03,Poc,2.65,10,25,6.5,8.5,4.5,Missing Data,NA,NA,NA,NA
295,LTER1,BR,P03,Acr,2.65,73,35,2,1,1.8,Recruitment,NA,NA,NA,NA
297,LTER1,BR,P03,Poc,2.65,88,10,25.7,21.5,13.5,Growth,NA,NA,NA,NA
302,LTER1,BR,P03,Acr,2.78,57,20,5.5,5.5,4.9,Growth,NA,NA,NA,NA
305,LTER1,BR,P03,Poc,2.8,12,72,27.7,22,23,NA,NA,NA,NA,NA
308,LTER1,BR,P03,Poc,2.84,57,42,4.9,4.6,3.7,Growth,NA,NA,NA,NA
311,LTER1,BR,P03,Por,2.9,27,0,26.3,20.5,16.6,NA,NA,NA,NA,NA
314,LTER1,BR,P03,Poc,2.92,83,55,18.3,15,15,Growth,NA,NA,NA,NA
321,LTER1,BR,P03,Poc,3.05,70,40,4.9,2.2,3.3,Growth,NA,NA,NA,NA
322,LTER1,BR,P03,Poc,3.05,78,40,26.8,20.5,16.6,Missing Data,NA,NA,NA,NA
324,LTER1,BR,P03,Poc,3.1,14,0,NA,NA,NA,Death,NA,NA,NA,NA
327,LTER1,BR,P03,Poc,3.15,24,2,4,2.4,2.9,Recruitment,NA,NA,NA,NA
328,LTER1,BR,P03,Poc,3.15,55,40,36.1,22,21.1,Growth,NA,NA,NA,NA
329,LTER1,BR,P03,Poc,3.2,4,1,3.3,2.8,2.5,Recruitment,NA,NA,NA,NA
335,LTER1,BR,P03,Poc,3.35,73,40,2.1,1.3,1.7,Recruitment,NA,NA,NA,NA
337,LTER1,BR,P03,Poc,3.36,73,40,3.6,2.9,2.7,Recruitment,NA,NA,NA,NA
339,LTER1,BR,P03,Poc,3.4,40,0,20.7,14.7,9.5,Shrinkage,NA,NA,NA,NA
342,LTER1,BR,P03,Por,3.45,66,35,4.1,3.3,3.7,Recruitment,NA,NA,NA,NA
347,LTER1,BR,P03,Acr,3.5,22,10,8,6,9.3,NA,NA,NA,NA,NA
348,LTER1,BR,P03,Poc,3.52,60,30,2.3,1.5,2.5,Recruitment,NA,NA,NA,NA
350,LTER1,BR,P03,Acr,3.58,11,30,7.1,5.8,6,Missing Data,NA,NA,NA,NA
351,LTER1,BR,P03,Acr,3.62,4,30,3,3,4,Recruitment,NA,NA,NA,NA
353,LTER1,BR,P03,Poc,3.67,37,14,1.5,0.9,1.4,Recruitment,NA,NA,NA,NA
354,LTER1,BR,P03,Poc,3.69,47,10,3.7,3.1,3.7,Recruitment,NA,NA,NA,NA
357,LTER1,BR,P03,Poc,3.71,35,5,1.6,1.4,1.3,Recruitment,NA,NA,NA,NA
381,LTER1,BR,P04,Acr,3.15,35,10,5,6,5,Growth,NA,NA,NA,NA
383,LTER1,BR,P04,Acr,3.4,50,10,5.5,5.5,7,Growth,NA,NA,NA,NA
393,LTER1,BR,P04,Por,8.56,28,15,45.5,16,27,Shrinkage,NA,NA,NA,NA
400,LTER1,BR,P05,Acr,1.35,13,47,10,9.5,9,Shrinkage,NA,NA,NA,NA
401,LTER1,BR,P05,Acr,1.37,70,40,4,4,4,Recruitment,NA,NA,NA,NA
403,LTER1,BR,P05,Acr,1.5,55,10,6.2,4.5,3.2,Growth,NA,NA,NA,NA
406,LTER1,BR,P05,Acr,3.2,50,10,100.8,45,48,Growth,NA,NA,NA,NA
407,LTER1,BR,P05,Acr,6.25,10,30,6.2,4.5,3,Missing Data,NA,NA,NA,NA
410,LTER1,BR,P05,Acr,9.5,75,30,10.8,6.5,6.5,Missing Data,NA,NA,NA,NA
414,LTER1,BR,P05,Acr,1.2,50,0,4,5,8,Missing Data,NA,NA,NA,NA
417,LTER1,BR,P06,Acr,5.5,50,10,2,2,2,Recruitment,NA,NA,NA,NA
418,LTER1,BR,P06,Acr,5.7,90,10,15,9,8,Growth,NA,NA,NA,NA
426,LTER1,BR,P07,Por,1.3,4,50,33.5,28,42,Growth,NA,NA,NA,NA
427,LTER1,BR,P07,Acr,2.1,30,50,7.5,9,5,Missing Data,NA,NA,NA,NA
429,LTER1,BR,P07,Acr,2.25,50,50,8,6.7,5,Growth,NA,NA,NA,NA
432,LTER1,BR,P07,Por,6.2,70,10,38.5,22.5,16.5,Growth,NA,NA,NA,NA
437,LTER1,BR,P07,Acr,9.75,50,10,4.5,3.5,3,Recruitment,NA,NA,NA,NA
440,LTER1,BR,P08,Acr,0.1,80,60,7,6,2.5,Growth,NA,NA,NA,NA
444,LTER1,BR,P08,Por,5.2,80,40,39,25,17.5,Growth,NA,NA,NA,NA
445,LTER1,BR,P08,Por,5.54,90,22,55,43,52,NA,NA,NA,NA,NA
451,LTER1,BR,P09,Por,0.05,50,25,72,40,39,Growth,NA,NA,NA,NA
452,LTER1,BR,P09,Acr,0.35,50,10,4.5,5.5,5,Growth,NA,NA,NA,NA
453,LTER1,BR,P09,Por,4.7,58,32,4.5,4,5,NA,NA,NA,NA,NA
457,LTER1,BR,P09,Acr,7.95,17,80,10.5,8.5,8,Growth,NA,NA,NA,NA
502,LTER1,BR,T01,Poc,0.77,79,21,2,0.9,1.2,Recruitment,NA,NA,NA,NA
510,LTER1,BR,T01,Poc,0.85,72,30,3.3,2.7,2.6,Growth,NA,NA,NA,NA
512,LTER1,BR,T01,Por,0.87,62,0,7.5,5.8,3.6,NA,NA,NA,NA,NA
515,LTER1,BR,T01,Por,0.94,39,5,15.7,10.1,13,Shrinkage,NA,NA,NA,NA
517,LTER1,BR,T01,Por,0.96,22,7,1.9,2.1,2,Recruitment,NA,NA,NA,NA
526,LTER1,BR,T01,Por,1.07,33,13,8.6,7,7,NA,NA,NA,NA,NA
530,LTER1,BR,T01,Por,1.09,53,8,4.9,4.5,5.7,Shrinkage,NA,NA,NA,NA
545,LTER1,BR,T01,Por,1.22,70,0,9.3,6.3,3.9,Growth,NA,NA,NA,NA
547,LTER1,BR,T01,Por,1.25,72,29,12.9,7.6,15.6,Growth,NA,NA,NA,NA
554,LTER1,BR,T01,Por,1.4,78,17,9.9,8.8,10.6,Growth,NA,NA,NA,NA
555,LTER1,BR,T01,Poc,1.4,95,31,2.3,1.8,1.9,Recruitment,NA,NA,NA,NA
566,LTER1,BR,T01,Por,1.51,94,27,5.3,5.1,7.1,NA,NA,NA,NA,NA
571,LTER1,BR,T01,Poc,1.68,80,16,4.2,3.9,4,Growth,NA,NA,NA,NA
572,LTER1,BR,T01,Poc,1.69,91,12,1.6,1,1.2,Recruitment,NA,NA,NA,NA
574,LTER1,BR,T01,Poc,1.72,79,15,3.7,2.8,3.1,Recruitment,NA,NA,NA,NA
575,LTER1,BR,T01,Poc,1.75,74,8,2.8,2.4,2,Recruitment,NA,NA,NA,NA
576,LTER1,BR,T01,Poc,1.75,95,13,2.5,2,2.3,Recruitment,NA,NA,NA,NA
587,LTER1,BR,T01,Por,2.15,95,5,7.1,5.7,6.3,Shrinkage,NA,NA,NA,NA
592,LTER1,BR,T01,Por,2.25,73,13,14.8,7,8,Growth,NA,NA,NA,NA
610,LTER1,BR,T01,Por,2.72,88,8,4.1,4.4,4.3,Recruitment,NA,NA,NA,NA
651,LTER1,BR,T01,Por,3.23,0,15,2.5,2.1,3.3,Recruitment,NA,NA,NA,NA
653,LTER1,BR,T01,Por,3.32,24,15,2.2,2.2,1.6,Recruitment,NA,NA,NA,NA
656,LTER1,BR,T01,Por,3.65,55,40,20,9.3,23.5,Growth,NA,NA,NA,NA
661,LTER1,BR,T01,Por,3.8,24,15,2.2,2.2,1.6,Recruitment,NA,NA,NA,NA
662,LTER1,BR,T01,Por,3.8,28,63,2.3,1.1,1.9,Recruitment,NA,NA,NA,NA
665,LTER1,BR,T01,Por,3.84,22,60,2,1.6,2.4,Recruitment,NA,NA,NA,NA
668,LTER1,BR,T01,Por,3.85,29,63,0.8,0.6,0.6,Recruitment,NA,NA,NA,NA
674,LTER1,BR,T01,Poc,4,40,5,15.1,9.6,9.1,Missing Data,NA,NA,NA,NA
677,LTER1,BR,T01,Poc,4.2,61,40,4,2.8,2.8,Recruitment,NA,NA,NA,NA
687,LTER1,BR,T01,Poc,4.5,50,30,5.5,2.2,4.3,Growth,NA,NA,NA,NA
689,LTER1,BR,T01,Por,4.55,35,25,8.5,6,6.3,Shrinkage,NA,NA,NA,NA
698,LTER1,BR,T01,Por,4.7,6,10,12.5,9,7.8,Growth,NA,NA,NA,NA
699,LTER1,BR,T01,Por,4.7,56,40,4.9,6.3,3.7,Shrinkage,NA,NA,NA,NA
710,LTER1,BR,T02,Poc,0.2,53,10,3.5,3.9,3,Growth,NA,NA,NA,NA
720,LTER1,BR,T02,Poc,0.66,82,15,3.1,1.7,2.7,Recruitment,NA,NA,NA,NA
737,LTER1,BR,T02,Poc,1.45,70,40,11.9,8.3,9.3,Growth,NA,NA,NA,NA
767,LTER1,BR,T02,Acr,2.07,79,85,6,5.5,5.7,Growth,NA,NA,NA,NA
768,LTER1,BR,T02,Por,2.08,60,87,3.3,3.3,2,Recruitment,NA,NA,NA,NA
776,LTER1,BR,T02,Por,2.1,81,85,10.5,4.5,9.2,Growth,NA,NA,NA,NA
784,LTER1,BR,T02,Poc,2.6,93,32,4.4,4.1,4.3,Recruitment,NA,NA,NA,NA
787,LTER1,BR,T02,Acr,2.68,14,85,8.4,4.6,9.2,Growth,NA,NA,NA,NA
792,LTER1,BR,T02,Por,3.08,65,60,8.3,8.5,9.3,Missing Data,NA,NA,NA,NA
797,LTER1,BR,T02,Por,3.16,29,40,6.5,3.1,7.1,Growth,NA,NA,NA,NA
809,LTER1,BR,T02,Por,3.4,0,55,8.4,5.6,7,Growth,NA,NA,NA,NA
815,LTER1,BR,T02,Poc,3.75,75,40,5.3,4.2,4.4,Growth,NA,NA,NA,NA
817,LTER1,BR,T02,Por,3.9,15,15,18.5,7.7,17.7,Shrinkage,NA,NA,NA,NA
822,LTER1,BR,T02,Por,3.96,6,40,15,9.5,14.3,NA,NA,NA,NA,NA
827,LTER1,BR,T02,Por,4.05,16,40,5.1,4.2,7.6,Shrinkage,NA,NA,NA,NA
837,LTER1,BR,T02,Poc,4.25,7,45,3,3.3,2.3,Shrinkage,NA,NA,NA,NA
846,LTER1,BR,T03,Acr,0,65,80,5.8,6.5,4,Growth,NA,NA,NA,NA
850,LTER1,BR,T03,Por,0.08,34,34,7.4,7.5,4.6,Shrinkage,NA,NA,NA,NA
853,LTER1,BR,T03,Por,0.13,66,30,2.2,0.9,0.1,Shrinkage,NA,NA,NA,NA
855,LTER1,BR,T03,Poc,0.17,30,30,1.8,1.7,0.5,Recruitment,NA,NA,NA,NA
858,LTER1,BR,T03,Por,0.3,65,19,20,16.5,6.5,Shrinkage,NA,NA,NA,NA
860,LTER1,BR,T03,Poc,0.35,89,42,4.8,3.5,3.4,Growth,NA,NA,NA,NA
862,LTER1,BR,T03,Poc,0.43,69,20,1,1,1,Recruitment,NA,NA,NA,NA
863,LTER1,BR,T03,Poc,0.49,90,30,1.5,2,1.2,Recruitment,NA,NA,NA,NA
867,LTER1,BR,T03,Por,0.68,81,17,5.7,5.7,3,Growth,NA,NA,NA,NA
871,LTER1,BR,T03,Poc,1.05,73,15,1,1,1,Recruitment,NA,NA,NA,NA
874,LTER1,BR,T03,Por,1.34,24,0,14.7,13.1,11.5,Growth,NA,NA,NA,NA
886,LTER1,BR,T03,Por,2.1,60,12,14.8,10,10,Shrinkage,NA,NA,NA,NA
887,LTER1,BR,T03,Poc,2.1,70,15,4.9,5,6.1,Growth,NA,NA,NA,NA
890,LTER1,BR,T03,Por,2.3,20,32,9.4,6.3,3.3,Shrinkage,NA,NA,NA,NA
893,LTER1,BR,T03,Por,2.38,9,0,32,16.5,9,NA,NA,NA,NA,NA
899,LTER1,BR,T03,Poc,2.5,81,40,3.2,3.2,2.7,Recruitment,NA,NA,NA,NA
916,LTER1,BR,T03,Poc,2.78,1,20,1,1,1,Recruitment,NA,NA,NA,NA
918,LTER1,BR,T03,Poc,2.81,2,30,0.5,0.5,0.5,Recruitment,NA,NA,NA,NA
929,LTER1,BR,T03,Acr,3.15,84,60,6,6,2.4,Growth,NA,NA,NA,NA
934,LTER1,BR,T03,Por,3,1,0,17,16,15.5,NA,NA,NA,NA,NA
940,LTER1,BR,T03,Poc,3.18,92,50,7.9,4.5,5.6,Shrinkage,NA,NA,NA,NA
942,LTER1,BR,T03,Por,3.37,90,80,13,13,7.5,NA,NA,NA,NA,NA
946,LTER1,BR,T03,Poc,3.23,75,60,6.4,5.5,5.5,Missing Data,NA,NA,NA,NA
950,LTER1,BR,T03,Por,3.4,2,10,8.8,6.9,8.3,Growth,NA,NA,NA,NA
960,LTER1,BR,T03,Por,3.75,86,50,22,16.5,19,Growth,NA,NA,NA,NA
972,LTER1,BR,T03,Poc,3.95,20,50,9.3,8.6,5.5,Growth,NA,NA,NA,NA
979,LTER1,BR,T03,Poc,4.04,1,15,1,1,1,Recruitment,NA,NA,NA,NA
983,LTER1,BR,T03,Poc,4.1,5,30,2,3.5,2,Recruitment,NA,NA,NA,NA
989,LTER1,BR,T03,Por,4.6,21,37,25.5,19,7.5,Shrinkage,NA,NA,NA,NA
990,LTER1,BR,T03,Poc,4.6,1,0,5.5,9,5,Missing Data,NA,NA,NA,NA
1000,LTER1,BR,T04,Por,0.05,60,90,5.5,4,1.5,Recruitment,NA,NA,NA,NA
1012,LTER1,BR,T04,Por,0.05,1,30,11.1,7.1,3.2,NA,NA,NA,NA,NA
1014,LTER1,BR,T04,Por,0.5,61,32,16,9.5,12,NA,NA,NA,NA,NA
1016,LTER1,BR,T04,Por,0.5,100,0,11.5,8,4,NA,NA,NA,NA,NA
1031,LTER1,BR,T04,Por,0.79,90,0,8.8,5,5.5,Growth,NA,NA,NA,NA
1047,LTER1,BR,T04,Poc,1.15,30,40,5.3,3.5,2,Growth,NA,NA,NA,NA
1048,LTER1,BR,T04,Poc,1.2,27,40,3,3.2,2.4,Recruitment,NA,NA,NA,NA
1057,LTER1,BR,T04,Por,1.4,49,40,30,16,11.5,Growth,NA,NA,NA,NA
1062,LTER1,BR,T04,Por,1.55,92,25,5,4,5,Growth,NA,NA,NA,NA
1068,LTER1,BR,T04,Por,1.6,60,20,17,17,19,Growth,NA,NA,NA,NA
1087,LTER1,BR,T04,Poc,2,0,23,8.4,6.5,9,Growth,NA,NA,NA,NA
1100,LTER1,BR,T04,Por,2.3,84,23.3,8,7,3.5,NA,NA,NA,NA,NA
1106,LTER1,BR,T04,Poc,2.35,80,30,2.8,2.7,1.5,Recruitment,NA,NA,NA,NA
1113,LTER1,BR,T04,Por,2.4,70,20,3.2,3.7,0.5,NA,NA,NA,NA,NA
1114,LTER1,BR,T04,Por,2.45,70,25,3.8,3,1.8,Shrinkage,NA,NA,NA,NA
1127,LTER1,BR,T04,Por,2.5,90,20,2,2,1.5,Recruitment,NA,NA,NA,NA
1141,LTER1,BR,T04,Poc,2.7,13,30,3.3,3.3,1.7,Growth,NA,NA,NA,NA
1161,LTER1,BR,T04,Por,2.79,62,40,2.2,2.2,1,Recruitment,NA,NA,NA,NA
1168,LTER1,BR,T04,Por,2.8,77,30,4.7,4.2,2.5,Recruitment,NA,NA,NA,NA
1171,LTER1,BR,T04,Por,2.88,63,30,5.2,5.5,0.5,Recruitment,NA,NA,NA,NA
1172,LTER1,BR,T04,Poc,2.89,69,10,2.7,2.7,2,Recruitment,NA,NA,NA,NA
1173,LTER1,BR,T04,Acr,2.9,10,30,8,7,3.8,Growth,NA,NA,NA,NA
1181,LTER1,BR,T04,Por,2.91,5,25,7,3,2,Missing Data,NA,NA,NA,NA
1186,LTER1,BR,T04,Por,3.05,70,0,11.5,7,6,Growth,NA,NA,NA,NA
1190,LTER1,BR,T04,Por,3.45,100,5,19.5,14.5,14.5,Growth,NA,NA,NA,NA
1197,LTER1,BR,T04,Poc,3.83,20,30,1,1,1,Recruitment,NA,NA,NA,NA
1204,LTER1,BR,T04,Por,4.11,1,63,15.5,13.5,7,NA,NA,NA,NA,NA
1211,LTER1,BR,T04,Por,4.46,2,67,28,18,7,NA,NA,NA,NA,NA
1219,LTER1,BR,T04,Por,4.65,26,66,22,18,28.2,Growth,NA,NA,NA,NA
1227,LTER1,BR,T04,Poc,4.85,35,50,2.5,2.2,2,Recruitment,NA,NA,NA,NA
1229,LTER1,BR,T04,Por,4.9,13,60,26.3,17,13,Growth,NA,NA,NA,NA
1232,LTER1,BR,T04,Por,4.92,40,50,22.5,17.5,17.6,Growth,NA,NA,NA,NA
1236,LTER1,BR,T04,Poc,4.99,30,60,6,5,5.1,Missing Data,NA,NA,NA,NA
1247,LTER1,OR,T01,Poc,0.03,85,13,17.4,17.1,12.7,Growth,NA,NA,NA,NA
1346,LTER1,OR,T01,Poc,0.4,83,15,19.4,12.2,13,Growth,NA,NA,NA,NA
1352,LTER1,OR,T07,Poc,0.4,17,13,1.3,0.7,1.1,Recruitment,NA,NA,NA,NA
1353,LTER1,OR,T08,Poc,0.41,15,13,1,0.7,1,Recruitment,NA,NA,NA,NA
1363,LTER1,OR,T04,Poc,0.5,11,13,1.1,0.7,1.3,Recruitment,NA,NA,NA,NA
1376,LTER1,OR,T12,Poc,0.53,28,15,2.5,1.7,2.1,Recruitment,NA,NA,NA,NA
1453,LTER1,OR,T01,Poc,1,3,15,22.2,20.5,19.4,Shrinkage,NA,NA,NA,NA
1483,LTER1,OR,T19,Acr,3.1,0,15,2.1,2.2,2.3,Recruitment,NA,NA,NA,NA
1520,LTER1,OR,T02,Poc,0.3,93,0,1.5,1.7,2,NA,NA,NA,NA,NA
1526,LTER1,OR,T02,Poc,0.35,9,34,13,11.2,10,NA,NA,NA,NA,NA
1585,LTER1,OR,T02,Poc,0.82,47,0,1,1,0.5,Recruitment,NA,NA,NA,NA
1591,LTER1,OR,T02,Poc,0.89,65,11,15.2,11.7,11,NA,NA,NA,NA,NA
1596,LTER1,OR,T02,Poc,0.96,1,8,16,14.7,10.6,NA,NA,NA,NA,NA
1645,LTER1,OR,T04,Poc,0.05,32,4,0.6,0.5,0.6,Recruitment,NA,NA,NA,NA
1821,LTER1,OR,T04,Poc,0.36,66,10,1.4,1,1,Recruitment,NA,NA,NA,NA
1862,LTER1,OR,T04,Por,0.58,50,0,13.8,8.6,8.3,Shrinkage,NA,NA,NA,NA
1863,LTER1,OR,T05,Por,0.58,47,0,4.5,2.1,3.5,Recruitment,NA,NA,NA,NA
1872,LTER1,OR,T05,Por,0.66,21,0,6.7,3.7,2.2,Missing Data,NA,NA,NA,NA
1963,LTER2,BR,P01,Por,0.5,70,150,47.2,25.6,20,Missing Data,NA,NA,NA,NA
1969,LTER2,BR,P01,Por,1.4,10,40,34.8,24,24.9,Missing Data,NA,NA,NA,NA
1978,LTER2,BR,P01,Poc,3.4,50,110,5.3,3.9,4.3,Recruitment,NA,NA,NA,NA
1983,LTER2,BR,P01,Poc,3.65,80,130,1.7,1.6,1.5,Recruitment,NA,NA,NA,NA
1984,LTER2,BR,P01,Poc,3.69,54,105,1.8,1.6,2,Recruitment,NA,NA,NA,NA
1987,LTER2,BR,P01,Poc,4.15,35,130,48.3,38,41.8,Growth,NA,NA,NA,NA
1988,LTER2,BR,P01,Poc,4.4,5,100,3.6,2.8,3.1,Recruitment,NA,NA,NA,NA
1989,LTER2,BR,P01,Poc,4.4,40,140,26.4,21.3,16.8,Growth,NA,NA,NA,NA
1992,LTER2,BR,P01,Poc,4.5,35,130,31.8,32.3,18.4,Growth,NA,NA,NA,NA
1993,LTER2,BR,P01,Poc,4.55,25,100,2.5,1.7,2.2,Recruitment,NA,NA,NA,NA
1998,LTER2,BR,P01,Poc,4.9,5,135,23.5,17.8,15,Missing Data,NA,NA,NA,NA
2002,LTER2,BR,P01,Poc,5.16,82,100,1.3,1.1,1.5,Recruitment,NA,NA,NA,NA
2003,LTER2,BR,P01,Poc,5.2,20,135,21.5,14.8,12,Missing Data,NA,NA,NA,NA
2006,LTER2,BR,P01,Acr,5.55,40,125,6.3,5.6,4.7,Missing Data,NA,NA,NA,NA
2007,LTER2,BR,P01,Por,5.6,65,100,14.8,9.3,22,Shrinkage,NA,NA,NA,NA
