site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
LTER1,BR,P01,Poc,9.77,25,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P01,Por,0.85,70,53,2024,27,11.3,12.5,TBD,"NA, Missing data",NA
LTER1,BR,P01,Poc,0.88,62,2,2024,2.7,1.3,2.2,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,0.9,95,20,2024,6.7,5,6,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,1.67,22,15,2024,2.6,1.8,1.5,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,1.75,10,10,2024,2.1,1,1.8,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,3.37,66,60,2024,5,3.1,4,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,3.65,75,40,2024,2,1.2,1.2,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,8.25,80,30,2024,6.8,3.6,5,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,9.6,35,40,2024,2.2,2,2.3,TBD,"NA, Recruitment",NA
LTER1,BR,P01,Poc,8.75,42,5,2024,8.3,7.7,8.6,TBD,"NA, Missing data",NA
LTER1,BR,P01,Poc,8.4,87,10,2024,12.4,13.6,8.5,TBD,"NA, Migrant (loose)",NA
LTER1,BR,P01,Poc,8.3,80,25,2024,1.3,1.3,1.4,TBD,"NA, Recruitment",NA
LTER1,BR,P10,Por,0.1,90,30,2024,61.6,41,42.5,TBD,"NA, Growth",NA
NA,NA,NA,Acr,1.35,90,50,2024,8,3.8,5.3,TBD,"NA, Recruitment",NA
NA,NA,NA,Acr,2.73,25,40,2024,5.2,2.7,4.9,TBD,"A. hyacynthus, Recruitment",NA
NA,NA,NA,Acr,4.5,87,40,2024,5.5,6,5.6,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Por,0.35,82,10,2024,NA,NA,NA,TBD,"With coral in PO3, Fus1",NA
LTER1,BR,P02,Poc,0.55,2,2,2024,3.8,3.5,2.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,0.55,52,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,0.59,48,50,2024,6,2.5,6,TBD,"NA, Growth",NA
LTER1,BR,P02,Acr,0.6,10,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,0.9,30,10,2024,17.5,17.5,16,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,0.95,19,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,0.98,30,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,1,50,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,1.3,30,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,1.3,60,66,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,1.5,80,72,2024,4.2,4,2.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,1.5,80,70,2024,4.8,4.5,4.7,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,1.65,90,80,2024,18.5,8,5.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,1.7,55,60,2024,16,16,11.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,1.8,57,135,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,1.85,73,150,2024,7,7,3.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,2.11,60,50,2024,3,3,1,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,3.25,10,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,3.65,50,70,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,3.15,70,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Acr,3.53,89,17,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,3.8,60,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,3.85,40,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Poc,4,77,50,2024,3.5,3,2.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,4.7,70,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Acr,5.93,99,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P02,Acr,6.3,30,2,2024,7.5,6.5,2.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,7.11,70,20,2024,7,8,4.5,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,7.25,50,50,2024,3,3,2,TBD,"NA, Growth",NA
LTER1,BR,P02,Por,8.05,27,0,2024,120,34,34,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,9.1,92,10,2024,6,7,5,TBD,"NA, Growth",NA
LTER1,BR,P02,Acr,9.2,50,70,2024,7.5,6.5,6,TBD,"NA, Growth",NA
LTER1,BR,P02,Poc,9.25,10,50,2024,7,6,5,TBD,"NA, Growth",NA
LTER1,BR,P02,Acr,0.26,50,60,2024,4,4,2,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,1.2,60,5,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,1.3,83,30,2024,0.5,0.5,0.5,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,1.45,50,50,2024,0.5,0.5,0.5,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,1.89,73,60,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Acr,2.5,55,80,2024,3.8,3,2,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.73,73,80,2024,2.5,2.5,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.69,82,80,2024,2.5,2.5,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.89,100,60,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.9,90,50,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.9,20,30,2024,8,8,7,TBD,"NA, Missing data",NA
LTER1,BR,P02,Poc,7.05,90,37,2024,2,2,2,TBD,"NA, Recruitment",NA
LTER1,BR,P02,Poc,2.89,10,40,2024,1,1,2,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Por,0,10,20,2024,270,90,98,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,1.15,0,45,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,1.2,96,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,1.5,35,40,2024,6,6,4,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,1.6,36,35,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,1.85,21,20,2024,8,7.5,6,TBD,"NA, Growth",NA
LTER1,BR,P03,Acr,1.88,50,25,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,1.9,26,23,2024,9,10,12,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2,50,20,2024,38,30,21,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.17,70,20,2024,25,20,23,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.2,58,30,2024,25,21,18,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.2,80,20,2024,29.5,23,18,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.5,50,15,2024,27.5,23,18,TBD,"NA, Growth",NA
LTER1,BR,P03,Acr,2.6,28,30,2024,28.5,22,12,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.6,65,40,2024,4.2,3.5,4,TBD,"NA, Growth",NA
LTER1,BR,P03,Acr,2.63,73,35,2024,3.5,3.5,4,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.65,10,25,2024,4,4,3,TBD,"NA, Growth",NA
LTER1,BR,P03,Acr,2.65,73,35,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,2.65,88,10,2024,28.5,27,13,TBD,"NA, Growth",NA
LTER1,BR,P03,Acr,2.78,57,20,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,2.8,12,72,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,2.84,57,42,2024,26,21,19,TBD,"NA, Growth",NA
LTER1,BR,P03,Por,2.9,27,0,2024,37,11,18.5,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,2.92,83,55,2024,13,13,13,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,3.05,70,40,2024,36,29,26,TBD,"NA, Fus1",NA
LTER1,BR,P03,Poc,3.05,78,40,2024,27.5,26,20.5,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,3.15,24,2,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.15,55,40,2024,NA,NA,NA,TBD,"NA, Fus1",NA
LTER1,BR,P03,Poc,3.2,4,1,2024,3.5,3.5,4,TBD,"NA, Growth",NA
LTER1,BR,P03,Poc,3.35,73,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.36,73,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.4,40,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Por,3.45,66,35,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Acr,3.5,22,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.52,60,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Acr,3.58,11,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Acr,3.62,4,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.67,37,14,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.69,47,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,3.71,35,5,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P03,Poc,0.35,90,10,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Poc,0.95,70,10,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Acr,0.85,10,20,2024,4,4,1.5,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Poc,0.95,10,20,2024,1,1.5,1.5,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Poc,2.9,10,30,2024,2,2,1,TBD,"NA, Recruitment",NA
LTER1,BR,P03,Poc,3.8,85,40,2024,1,1,1,TBD,"NA, Recruitment",NA
LTER1,BR,P04,Acr,3.15,35,10,2024,7,5.5,1.5,TBD,"NA, Growth",NA
LTER1,BR,P04,Acr,3.4,50,10,2024,7.5,7,6,TBD,"NA, Growth",NA
LTER1,BR,P04,Poc,3.5,50,0,2024,29,20,24,TBD,"NA, Growth",NA
LTER1,BR,P04,Por,8.56,28,15,2024,34,18,29,TBD,"NA, Growth",NA
LTER1,BR,P05,Acr,1.35,13,47,2024,9.5,7.8,6.8,TBD,"NA, Growth",NA
LTER1,BR,P05,Acr,1.37,70,40,2024,3,3,2.2,TBD,"NA, Growth",NA
LTER1,BR,P05,Acr,1.5,55,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P05,Acr,3.2,50,10,2024,4.5,4.5,6.9,TBD,"NA, Growth",NA
LTER1,BR,P05,Acr,6.25,10,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P05,Acr,9.5,75,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P05,Por,10,90,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P05,Acr,1.2,50,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P06,Acr,5.5,50,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P06,Acr,5.7,90,10,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P06,Acr,5.7,50,10,2024,10.4,8.5,11,TBD,"NA, Growth",NA
LTER1,BR,P07,Por,1.3,4,50,2024,35.1,23.5,42.8,TBD,"NA, Growth",NA
LTER1,BR,P07,Acr,2.1,30,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P07,Acr,2.25,50,50,2024,15.2,12.7,5.3,TBD,"NA, Growth",NA
LTER1,BR,P07,Por,6.4,70,10,2024,23.2,14,11.8,TBD,"NA, Growth",NA
LTER1,BR,P07,Acr,9.75,50,30,2024,5.7,5.7,4.7,TBD,"NA, Growth",NA
LTER1,BR,P08,Acr,0.1,80,80,2024,7.6,6.5,5.5,TBD,"NA, Growth",NA
LTER1,BR,P08,Por,5.2,80,40,2024,42.6,26.5,21.8,TBD,"NA, Growth",NA
LTER1,BR,P08,Por,5.54,90,22,2024,28,21.3,20.5,TBD,"NA, Growth",NA
LTER1,BR,P09,Por,0.05,50,25,2024,66.8,30.4,29.9,TBD,"NA, Growth",NA
LTER1,BR,P09,Acr,0.35,50,10,2024,5.4,4.7,5.7,TBD,"NA, Growth",NA
LTER1,BR,P09,Por,4.7,58,32,2024,30,12.7,9.9,TBD,"NA, Growth",NA
LTER1,BR,P09,Acr,7.95,35,80,2024,13.2,11.2,9.4,TBD,"A. globiceps, Growth",NA
LTER1,BR,PO9,Acr,7.2,50,60,2024,5.3,4.5,5.3,TBD,"A. hyacynthus, Recruitment",NA
LTER1,BR,PO8,Acr,0,80,75,2024,5.8,2.5,4,TBD,"NA, Recruitment",NA
LTER1,BR,PO7,Por,4,30,30,2024,27,18.5,10.9,TBD,"NA, Missing data",NA
LTER1,BR,PO7,Acr,5.7,57,55,2024,10.6,7.3,5.4,TBD,"A. globiceps, Missing data",NA
LTER1,BR,PO7,Por,6.1,30,60,2024,36.3,23.9,14.6,TBD,"NA, Missing data",NA
LTER1,BR,PO7,Acr,8.7,33,85,2024,7.5,5.2,4,TBD,"NA, Missing data",NA
LTER1,BR,PO6,Acr,1.25,55,3,2024,9.8,9.6,6,TBD,"NA, Missing data",NA
LTER1,BR,PO6,Acr,7.9,12,20,2024,4,2.5,2.7,TBD,"NA, Recruitment",NA
LTER1,BR,PO6,Acr,9.5,25,25,2024,6.2,6.9,3.3,TBD,"NA, Recruitment",NA
LTER1,BR,PO5,Acr,0,15,10,2024,4,3,3,TBD,"NA, Recruitment",NA
LTER1,BR,PO5,Acr,0.95,20,50,2024,14,12,9.5,TBD,"NA, Missing data",NA
NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,TBD,"NA, NA",NA
LTER1,BR,T01,Poc,0.77,79,21,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Poc,0.85,72,30,2024,5.7,5.3,4.2,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,0.87,62,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Por,0.94,39,5,2024,16.1,11.3,14.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,0.96,22,7,2024,4.2,2.8,3,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,1.07,33,13,2024,7.4,6.9,6.7,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,1.09,53,8,2024,5.9,5.1,5.3,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,1.1,71,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Por,1.22,70,0,2024,8.8,8.1,4.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,1.25,72,29,2024,13,8,15.1,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,1.4,78,17,2024,10.6,9.7,11,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,1.4,95,31,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Por,1.51,94,27,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Poc,1.68,80,16,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Poc,1.69,91,12,2024,2.5,1.7,1.7,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,1.72,79,15,2024,6.9,6,6,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,1.75,74,8,2024,6.5,4.7,5.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,1.75,95,13,2024,4,3.8,3.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,2.15,95,5,2024,10,8.8,12.1,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,2.25,73,13,2024,4.4,5.5,8.8,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,2.72,88,8,2024,3,1.9,1.3,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.23,0,15,2024,2,2.5,5.2,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.32,24,15,2024,3.5,2.8,2.3,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.65,55,40,2024,20.9,10.4,19.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.8,24,15,2024,3,2.4,2.5,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.8,28,63,2024,2.6,1.2,1.7,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.84,22,60,2024,1.7,1.7,1.5,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,3.85,29,63,2024,1.5,0.8,0.8,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,4,40,5,2024,1.7,1.5,1.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,4.2,61,40,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Poc,4.5,50,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Por,4.55,35,25,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T01,Por,4.7,6,10,2024,15,8,12.8,TBD,"NA, Growth",NA
LTER1,BR,T01,Por,4.7,56,40,2024,8,7,5.4,TBD,"NA, Growth",NA
LTER1,BR,T01,Poc,1.18,83,25,2024,2.8,2,3.1,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Poc,1.77,76,10,2024,1.3,1.3,1.2,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Poc,1.74,78,5,2024,2,1,1.9,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Poc,2.87,30,20,2024,1.7,1.7,1.6,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Acr,2.88,31,18,2024,0.6,0.4,0.7,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Poc,3.98,16,40,2024,1.4,1.4,1,TBD,"NA, Recruitment",NA
LTER1,BR,T01,Por,4.15,30,20,2024,8.6,4.8,5.4,TBD,"NA, Migrant",NA
LTER1,BR,T01,Por,4.1,30,5,2024,7.8,8,7,TBD,"NA, Migrant",NA
LTER1,BR,T01,Acr,4.65,0,15,2024,3,1.9,2.3,TBD,"NA, Recruitment",NA
LTER1,BR,T02,Poc,0.2,53,10,2024,10.6,8.9,7,TBD,"NA, Growth",NA
LTER1,BR,T02,Poc,0.66,82,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T02,Poc,1.45,70,40,2024,14.5,9.4,12.1,TBD,"NA, Growth",NA
LTER1,BR,T02,Acr,2.07,79,85,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T02,Por,2.08,60,87,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T02,Por,2.1,81,85,2024,5.9,4.4,3.1,TBD,"NA, Growth",NA
LTER1,BR,T02,Poc,2.6,93,32,2024,2.9,2.5,2,TBD,"NA, Growth",NA
LTER1,BR,T02,Acr,2.68,14,85,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T02,Por,3.08,65,60,2024,10,10.3,8.3,TBD,"NA, Growth",NA
LTER1,BR,T02,Por,3.16,29,40,2024,8.5,4.3,7.1,TBD,"NA, Growth",NA
LTER1,BR,T02,Por,3.4,0,55,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T02,Poc,3.75,75,40,2024,5.7,3.7,5.7,TBD,"NA, Growth",NA
LTER1,BR,T02,Por,3.9,15,15,2024,12.3,6.1,14,TBD,"NA, Growth",NA
LTER1,BR,T02,Por,3.96,6,40,2024,7.5,3.5,7.4,TBD,"NA, Growth",NA
LTER1,BR,T02,Por,4.05,16,40,2024,3.4,1.5,2.1,TBD,"NA, Growth",NA
LTER1,BR,T02,Poc,4.25,7,45,2024,4.6,3.3,3.3,TBD,"NA, Growth",NA
LTER1,BR,T02,Acr,0.34,61,17,2024,3.2,2.5,2.4,TBD,"A. hyacynthus, Recruitment",NA
LTER1,BR,T02,Poc,0.77,90,25,2024,3.1,1.7,2.3,TBD,"NA, Recruitment",NA
LTER1,BR,T02,Poc,3.2,87,35,2024,2,1.5,1.7,TBD,"NA, Recruitment",NA
LTER1,BR,T02,Poc,4.45,12,40,2024,5.1,4,3.1,TBD,"NA, Recruitment",NA
LTER1,BR,T02,Poc,4.45,61,20,2024,2.2,1.4,1.3,TBD,"NA, Recruitment",NA
LTER1,BR,T02,Poc,4.65,73,2,2024,1.4,0.8,0.8,TBD,"Loose, Recruitment",NA
LTER1,BR,T03,Acr,0,65,80,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,0.08,34,34,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,0.13,66,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,0.17,30,30,2024,2.2,2.3,1.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,0.3,65,19,2024,24,16,11,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,0.35,89,42,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,0.43,69,20,2024,3.8,4,3.5,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,0.49,90,30,2024,4.8,4.8,4.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,0.68,81,17,2024,8.9,7,4.5,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,1.05,73,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,1.34,24,0,2024,16.2,12.1,12.11,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,2.1,60,12,2024,12,9.2,6.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,2.1,70,15,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,2.3,20,32,2024,13.9,8.5,9,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,2.38,9,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,2.5,81,40,2024,6.8,6.8,3.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,2.53,2,0,2024,34,11,9,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,2.53,28,0,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,2.78,1,20,2024,3.5,3.2,2.7,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,2.81,2,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Acr,3.15,84,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3,1,0,2024,22.1,15.5,15.5,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,3.18,92,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.37,90,80,2024,14.8,14,6.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Poc,3.23,75,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.4,2,10,2024,6.8,6.5,6.8,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,3.4,5,10,2024,5.8,4.2,3.5,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,3.74,88,53,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.75,86,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.85,89,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.86,81,32,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.86,92,37,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.86,97,37,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,3.95,20,50,2024,11.8,12,7.5,TBD,"NA, Growth",NA
LTER1,BR,T03,Por,3.95,83,60,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Por,3.95,86,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,T03,Poc,4.04,1,15,2024,3.5,3.5,2,TBD,"NA, Growth",NA
