coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,dynamics_2021
11,LTER1,BR,P1,Poc,1.1,80,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
12,LTER1,BR,P1,Poc,1.15,98,4,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.2,1.3,0.9,EW,R,NA,Recruitment,7.5,4,4.1,HSL,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9,7.5,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
14,LTER1,BR,P1,Poc,1.6,60,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,0.5,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,20,20,12,EW,Lo,NA,NA,24,22,16,HSL,NA,NA,NA,17,11.1,10,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,29.4,13.6,23.7,MK,Lo,NA,NA,26.4,13.4,20.6,MK,NA,NA,NA,22.5,13,26.7,MK,NA,NA,NA,27.8,14.3,27.3,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.7,1.2,1.7,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,25,20,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,3,3,3.3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,LTER1,BR,P1,Poc,2,49,13,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,24,14.5,13,EW,Lo,NA,NA,32,20,21,HSL,NA,NA,NA,17.5,11,10.5,EW,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
22,LTER1,BR,P1,Poc,2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,15.5,HSL,loose,NA,NA
23,LTER1,BR,P1,Poc,2.1,95,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,1,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,LTER1,BR,P1,Poc,2.1,80,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2,2,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,LTER1,BR,P1,Por,2.3,36,10,52.4,37.8,28,MK,NA,NA,NA,53.3,40.8,39.1,MK,NA,NA,NA,51.5,39.1,34.4,MK,NA,NA,NA,56.1,41,37.7,MK,NA,NA,NA,57,42,34.5,EW,NA,NA,NA,34,24,36,HSL,NA,NA,NA,5.1,3,3.5,EW,NA,NA,NA,65,45,25,NA,NA,NA,NA,74.5,51,46,HSL,NA,NA,NA
26,LTER1,BR,P1,Poc,2.5,60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.7,1.7,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,LTER1,BR,P1,Poc,2.6,62,100,26.3,18.1,12,MK,NA,NA,NA,25.9,13.9,15.1,MK,NA,NA,NA,19.5,16.9,15.3,MK,NA,NA,NA,18,18.5,17.3,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,LTER1,BR,P1,Acr,2.7,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,6,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
29,LTER1,BR,P1,Poc,2.95,71,61,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.1,1.1,0.8,MK,R,NA,Recruitment,2.3,2.7,0.8,EW,NA,NA,NA,7,3.8,5.2,HSL,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,LTER1,BR,P1,Poc,3,87,60,2.5,1.9,2.2,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,LTER1,BR,P1,Poc,3.17,37,73,3,1.6,1.8,MK,R,NA,Recruitment,2.5,2.3,0.8,MK,NA,NA,NA,0.8,0.5,0.5,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,LTER1,BR,P1,Poc,3.18,50,81,NA,NA,NA,MK,NA,NA,NA,3.4,2.7,3.2,MK,R,NA,Recruitment,4.6,3.5,4.2,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,LTER1,BR,P1,Poc,3.18,94,73,5.9,5.2,5.3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,LTER1,BR,P1,Poc,3.2,19,68,2.4,1,2.3,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,LTER1,BR,P1,Poc,3.22,51,83,7.1,6.2,6.5,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,LTER1,BR,P1,Poc,3.29,97,76,1.5,0.9,1.8,MK,R,NA,Recruitment,3.6,2.8,3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,LTER1,BR,P1,Acr,3.3,65,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
38,LTER1,BR,P1,Acr,3.5,80,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,7,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
39,LTER1,BR,P1,Poc,3.7,90,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.1,1.1,HSL,NA,R,Recruitment,5,5,3,EW,NA,NA,NA,16,9,10,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
40,LTER1,BR,P1,Poc,3.75,53,63,27,13.2,25.3,MK,NA,NA,NA,23.4,16.7,13.8,MK,NA,NA,NA,8.9,7.4,11.2,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,LTER1,BR,P1,Poc,3.87,66,35,NA,NA,NA,MK,NA,NA,NA,7.6,7.7,7.9,MK,Fr,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,LTER1,BR,P1,Poc,4,95,24,3.2,2,2.8,MK,NA,NA,NA,1.6,1,2,MK,R,NA,Recruitment,1.6,0.9,1.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,LTER1,BR,P1,Poc,4.14,21,53,0.9,0.8,0.6,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,LTER1,BR,P1,Acr,4.15,50,53,30.5,26.2,4.5,MK,NA,NA,NA,23.5,22.5,5.2,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,LTER1,BR,P1,Poc,4.15,65,33,14.1,9.6,11.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,LTER1,BR,P1,Poc,4.15,37,28,6.9,4.9,3.8,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,LTER1,BR,P1,Poc,4.15,20,53,2.4,2,1.6,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,LTER1,BR,P1,Poc,4.3,58,43,11.3,9.2,11.4,MK,NA,NA,NA,12.1,10,13,MK,NA,NA,NA,12,10.6,10.6,MK,NA,NA,NA,5.5,5.3,6.5,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,LTER1,BR,P1,Poc,5.1,68,65,7.5,5.6,6,MK,NA,NA,NA,8.7,6.7,8.8,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,LTER1,BR,P1,Poc,5.35,72,75,7.3,5.8,5.6,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,LTER1,BR,P1,Poc,5.4,69,51,1.5,0.8,1.9,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,LTER1,BR,P1,Poc,5.47,68,45,NA,NA,NA,MK,NA,NA,NA,1.4,0.6,1,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,LTER1,BR,P1,Poc,5.7,45,57,3,2.3,1.8,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,LTER1,BR,P1,Poc,5.95,33,23,NA,NA,NA,MK,NA,NA,NA,1.6,0.8,2,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,LTER1,BR,P1,Poc,6.15,94,30,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.8,1.4,1.5,MK,R,NA,Recruitment,3,2,3,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,LTER1,BR,P1,Poc,6.22,100,32,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,1.1,0.9,0.8,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,LTER1,BR,P1,Poc,6.4,58,6,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2.8,2.3,2.3,MK,R,NA,Recruitment,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,LTER1,BR,P1,Por,6.53,24,13,NA,NA,NA,MK,NA,NA,NA,29.5,16.1,15.2,MK,Ed,NA,NA,31.7,16.8,16.4,MK,NA,NA,NA,32.8,16.8,17,MK,NA,NA,NA,29,22,17,EW,NA,NA,NA,36,27,20,HSL,NA,NA,NA,31,19,18,EW,NA,NA,NA,34,18,23,NA,NA,NA,NA,39,19,21,HSL,NA,NA,NA
59,LTER1,BR,P1,Poc,6.98,62,57,1.8,1.5,0.8,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,LTER1,BR,P1,Poc,7,61,57,2.8,2.6,1.1,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
